,id,keywords
39,378064,"[{'id': 236, 'name': 'suicide'}, {'id': 1252, 'name': 'suicide attempt'}, {'id': 1643, 'name': 'deaf'}, {'id': 6054, 'name': 'friendship'}, {'id': 6270, 'name': 'high school'}, {'id': 6733, 'name': 'bullying'}, {'id': 10683, 'name': 'coming of age'}, {'id': 13141, 'name': 'based on manga'}, {'id': 187056, 'name': 'woman director'}, {'id': 188953, 'name': 'sign languages'}, {'id': 210024, 'name': 'anime'}, {'id': 232877, 'name': 'social anxiety'}, {'id': 235790, 'name': 'japanese high school'}, {'id': 268784, 'name': 'japanese school'}]"
40,4935,"[{'id': 334, 'name': 'flying'}, {'id': 616, 'name': 'witch'}, {'id': 2217, 'name': 'rain'}, {'id': 3098, 'name': 'castle'}, {'id': 3151, 'name': 'scarecrow'}, {'id': 5133, 'name': 'body exchange'}, {'id': 7315, 'name': 'hatter'}, {'id': 7397, 'name': 'bakery'}, {'id': 10028, 'name': 'steampunk'}, {'id': 10541, 'name': 'curse'}, {'id': 15001, 'name': 'demon'}, {'id': 210024, 'name': 'anime'}, {'id': 246466, 'name': 'based on young adult novel'}]"
41,1891,"[{'id': 526, 'name': 'rebel'}, {'id': 803, 'name': 'android'}, {'id': 1423, 'name': 'asteroid'}, {'id': 1612, 'name': 'spacecraft'}, {'id': 2902, 'name': 'space battle'}, {'id': 3373, 'name': 'snowstorm'}, {'id': 3388, 'name': 'space colony'}, {'id': 4551, 'name': 'swamp'}, {'id': 11196, 'name': 'rebellion'}, {'id': 161176, 'name': 'space opera'}, {'id': 244265, 'name': 'artic'}]"
42,255709,"[{'id': 516, 'name': 'child abuse'}, {'id': 3929, 'name': 'hope'}, {'id': 9672, 'name': 'based on true story'}, {'id': 190327, 'name': 'sexual assault'}, {'id': 261681, 'name': 'south korea'}]"
43,121,"[{'id': 603, 'name': 'elves'}, {'id': 604, 'name': 'dwarf'}, {'id': 606, 'name': 'orcs'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1653, 'name': 'explosive'}, {'id': 1964, 'name': 'cave'}, {'id': 3739, 'name': 'funeral'}, {'id': 4063, 'name': 'siege'}, {'id': 4268, 'name': 'fort'}, {'id': 6092, 'name': 'army'}, {'id': 6782, 'name': 'addiction'}, {'id': 10364, 'name': 'mission'}, {'id': 10563, 'name': 'attack'}, {'id': 12554, 'name': 'dragon'}, {'id': 33788, 'name': 'guide'}, {'id': 34079, 'name': 'death'}, {'id': 156761, 'name': 'split personality'}, {'id': 177912, 'name': 'wizard'}, {'id': 189093, 'name': 'ring'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 234213, 'name': 'sword and sorcery'}]"
44,423,"[{'id': 836, 'name': 'resistance'}, {'id': 1739, 'name': 'holocaust (shoah)'}, {'id': 1899, 'name': 'hunger'}, {'id': 1956, 'name': 'world war ii'}, {'id': 1968, 'name': 'prisoner of war'}, {'id': 2156, 'name': 'homeland'}, {'id': 2394, 'name': 'ghetto'}, {'id': 2428, 'name': 'deportation'}, {'id': 2433, 'name': 'jew persecution'}, {'id': 2434, 'name': 'liberation'}, {'id': 2435, 'name': 'warsaw ghetto'}, {'id': 2436, 'name': 'polish resistance'}, {'id': 2652, 'name': 'nazi'}, {'id': 5565, 'name': 'biography'}, {'id': 6029, 'name': 'concert'}, {'id': 10349, 'name': 'survival'}, {'id': 14641, 'name': 'based on memoir or autobiography'}, {'id': 14743, 'name': 'pianist'}, {'id': 21747, 'name': 'poland'}]"
45,244786,"[{'id': 242, 'name': 'new york city'}, {'id': 1416, 'name': 'jazz'}, {'id': 1523, 'name': 'obsession'}, {'id': 1640, 'name': 'conservatory'}, {'id': 2176, 'name': 'music teacher'}, {'id': 6029, 'name': 'concert'}, {'id': 33896, 'name': 'montage'}, {'id': 170418, 'name': 'public humiliation'}, {'id': 176095, 'name': 'jazz band'}, {'id': 206298, 'name': 'young adult'}, {'id': 207739, 'name': 'music school'}, {'id': 268132, 'name': 'based on short film'}, {'id': 309246, 'name': 'motivational'}]"
46,995133,"[{'id': 2527, 'name': 'fox'}, {'id': 2673, 'name': 'horse'}, {'id': 3929, 'name': 'hope'}, {'id': 6054, 'name': 'friendship'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 15120, 'name': 'kindness'}, {'id': 18035, 'name': 'family'}, {'id': 234662, 'name': 'hand drawn animation'}, {'id': 263548, 'name': 'short film'}, {'id': 299369, 'name': 'courage'}]"
47,807,"[{'id': 476, 'name': 'self-fulfilling prophecy'}, {'id': 703, 'name': 'detective'}, {'id': 1470, 'name': 's.w.a.t.'}, {'id': 2217, 'name': 'rain'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 3597, 'name': 'evisceration'}, {'id': 3927, 'name': 'rage and hate'}, {'id': 3932, 'name': 'pride and vanity'}, {'id': 4138, 'name': 'immoderateness'}, {'id': 4142, 'name': 'insomnia'}, {'id': 4426, 'name': 'sadism'}, {'id': 5340, 'name': 'investigation'}, {'id': 6125, 'name': 'pension'}, {'id': 6149, 'name': 'police'}, {'id': 6259, 'name': 'psychopath'}, {'id': 9826, 'name': 'murder'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11001, 'name': 'religion'}, {'id': 185459, 'name': 'seven deadly sins'}, {'id': 201028, 'name': 'depravity'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 301165, 'name': 'misanthropy'}]"
48,92321,"[{'id': 6152, 'name': 'supernatural'}, {'id': 9914, 'name': 'slice of life'}, {'id': 13141, 'name': 'based on manga'}, {'id': 13153, 'name': 'spirit'}, {'id': 178856, 'name': 'folklore'}, {'id': 207695, 'name': 'japanese mythology'}, {'id': 210024, 'name': 'anime'}]"
49,27205,"[{'id': 90, 'name': 'paris, france'}, {'id': 470, 'name': 'spy'}, {'id': 490, 'name': 'philosophy'}, {'id': 1501, 'name': 'allegory'}, {'id': 1566, 'name': 'dream'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 2887, 'name': 'manipulation'}, {'id': 3800, 'name': 'airplane'}, {'id': 4563, 'name': 'virtual reality'}, {'id': 9844, 'name': 'car crash'}, {'id': 10051, 'name': 'heist'}, {'id': 10084, 'name': 'rescue'}, {'id': 10364, 'name': 'mission'}, {'id': 10937, 'name': 'memory'}, {'id': 12436, 'name': 'architecture'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 186789, 'name': 'dream world'}, {'id': 234868, 'name': 'subconscious'}]"
