,id,title,overview,poster_path,popularity,release_date,vote_average,original_language,vote_average,vote_count,release_date
56,274,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,14.661,1991-02-14,8.3,en,8.3,14881,1991-02-14
57,652837,"Josee, the Tiger and the Fish","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",/xAbSLi61npWyVs5M0yxin3dKcGO.jpg,29.985,2020-12-25,8.3,ja,8.3,359,2020-12-25
58,533514,Violet Evergarden: The Movie,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",/s5sC5iWYCEeJwCLOMm1Z10Oso3d.jpg,42.291,2020-09-18,8.3,ja,8.3,336,2020-09-18
59,128,Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",/cMYCDADoLKLbB83g4WnJegaZimC.jpg,60.718,1997-07-12,8.3,ja,8.3,7153,1997-07-12
60,3782,Ikiru,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,18.796,1952-10-09,8.3,ja,8.3,964,1952-10-09
61,914,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,23.944,1940-10-15,8.3,en,8.3,3008,1940-10-15
62,644479,Dedicated to my ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,8.354,2019-11-01,8.3,es,8.3,487,2019-11-01
63,101,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,54.356,1994-09-14,8.3,en,8.3,13562,1994-09-14
64,15804,A Brighter Summer Day,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",/3l8fOAwiN3N5n3hHnZ51eog7Zu2.jpg,15.319,1991-07-27,8.3,zh,8.3,265,1991-07-27
65,207,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",/ai40gM7SUaGA6fthvsd87o8IQq4.jpg,42.725,1989-06-02,8.3,en,8.3,10222,1989-06-02
